trade_id,timestamp,resting_order_id,aggressor_order_id,aggressor_side,price,quantity,strategy_name,position_after,cash_after,equity_after
29,1700000074,1061,1000054,ASK,100.340000,2,MomentumStrategy,-8,1000804.060000,1000001.340000
30,1700000076,1061,1000055,ASK,100.340000,2,MomentumStrategy,-10,1001004.740000,1000001.340000
31,1700000126,1102,1000087,BID,100.050000,1,MomentumStrategy,-9,1000904.690000,1000002.530000
32,1700000126,1074,1000087,BID,100.240000,1,MomentumStrategy,-8,1000804.450000,1000002.530000
33,1700000127,1104,1000088,BID,100.070000,2,MomentumStrategy,-6,1000604.310000,1000003.890000
34,1700000128,1064,1000089,BID,100.340000,2,MomentumStrategy,-4,1000403.630000,1000002.270000
35,1700000129,1105,1000090,ASK,100.070000,2,MomentumStrategy,-6,1000603.770000,1000003.350000
36,1700000131,1106,1000091,BID,100.090000,1,MomentumStrategy,-5,1000503.680000,1000001.980000
37,1700000131,1064,1000091,BID,100.340000,1,MomentumStrategy,-4,1000403.340000,1000001.980000
38,1700000132,1105,1000092,ASK,100.070000,1,MomentumStrategy,-5,1000503.410000,1000003.210000
39,1700000132,1091,1000092,ASK,100.040000,1,MomentumStrategy,-6,1000603.450000,1000003.210000
40,1700000133,1064,1000093,BID,100.340000,2,MomentumStrategy,-4,1000402.770000,1000001.410000
41,1700000134,1109,1000094,ASK,100.110000,1,MomentumStrategy,-5,1000502.880000,1000002.680000
42,1700000134,1091,1000094,ASK,100.040000,1,MomentumStrategy,-6,1000602.920000,1000002.680000
43,1700000136,1110,1000095,BID,100.130000,1,MomentumStrategy,-5,1000502.790000,1000000.990000
44,1700000136,1062,1000095,BID,100.360000,1,MomentumStrategy,-4,1000402.430000,1000000.990000
45,1700000137,1091,1000096,ASK,100.040000,2,MomentumStrategy,-6,1000602.510000,1000002.270000
46,1700000138,1062,1000097,BID,100.360000,2,MomentumStrategy,-4,1000401.790000,1000000.350000
47,1700000139,1113,1000098,ASK,100.150000,1,MomentumStrategy,-5,1000501.940000,1000001.740000
48,1700000139,1091,1000098,ASK,100.040000,1,MomentumStrategy,-6,1000601.980000,1000001.740000
49,1700000141,1114,1000099,BID,100.170000,1,MomentumStrategy,-5,1000501.810000,999999.910000
50,1700000141,1060,1000099,BID,100.380000,1,MomentumStrategy,-4,1000401.430000,999999.910000
51,1700000142,1101,1000100,ASK,100.030000,2,MomentumStrategy,-6,1000601.490000,1000001.310000
52,1700000143,1060,1000101,BID,100.380000,2,MomentumStrategy,-4,1000400.730000,999999.210000
53,1700000144,1117,1000102,ASK,100.190000,1,MomentumStrategy,-5,1000500.920000,1000000.770000
54,1700000144,1101,1000102,ASK,100.030000,1,MomentumStrategy,-6,1000600.950000,1000000.770000
55,1700000146,1118,1000103,BID,100.210000,1,MomentumStrategy,-5,1000500.740000,999998.840000
56,1700000146,1060,1000103,BID,100.380000,1,MomentumStrategy,-4,1000400.360000,999998.840000
57,1700000147,1101,1000104,ASK,100.030000,2,MomentumStrategy,-6,1000600.420000,1000000.240000
58,1700000148,1060,1000105,BID,100.380000,1,MomentumStrategy,-5,1000500.040000,999998.040000
59,1700000148,1058,1000105,BID,100.400000,1,MomentumStrategy,-4,1000399.640000,999998.040000
60,1700000149,1121,1000106,ASK,100.230000,1,MomentumStrategy,-5,1000499.870000,999999.720000
61,1700000149,1101,1000106,ASK,100.030000,1,MomentumStrategy,-6,1000599.900000,999999.720000
62,1700000151,1122,1000107,BID,100.250000,1,MomentumStrategy,-5,1000499.650000,999997.650000
63,1700000151,1058,1000107,BID,100.400000,1,MomentumStrategy,-4,1000399.250000,999997.650000
64,1700000152,1093,1000108,ASK,100.020000,2,MomentumStrategy,-6,1000599.290000,999999.170000
65,1700000153,1058,1000109,BID,100.400000,1,MomentumStrategy,-5,1000498.890000,999996.790000
66,1700000153,1056,1000109,BID,100.420000,1,MomentumStrategy,-4,1000398.470000,999996.790000
67,1700000154,1125,1000110,ASK,100.270000,1,MomentumStrategy,-5,1000498.740000,999998.640000
68,1700000154,1093,1000110,ASK,100.020000,1,MomentumStrategy,-6,1000598.760000,999998.640000
69,1700000157,1093,1000112,ASK,100.020000,2,MomentumStrategy,-8,1000798.800000,999998.640000
70,1700000159,1130,1000114,BID,100.330000,2,MomentumStrategy,-6,1000598.140000,999996.160000
71,1700000161,1130,1000115,BID,100.330000,2,MomentumStrategy,-4,1000397.480000,999996.160000
72,1700000162,1132,1000116,BID,100.300000,2,MomentumStrategy,-2,1000196.880000,999996.280000
73,1700000163,1131,1000117,ASK,100.280000,2,MomentumStrategy,-4,1000397.440000,999996.320000
74,1700000164,1133,1000118,ASK,100.240000,2,MomentumStrategy,-6,1000597.920000,999996.480000
75,1700000166,1133,1000119,ASK,100.240000,2,MomentumStrategy,-8,1000798.400000,999996.480000
76,1700000167,1135,1000120,ASK,100.180000,2,MomentumStrategy,-10,1000998.760000,999996.960000
77,1700000178,1138,1000127,BID,100.140000,2,MomentumStrategy,-8,1000798.480000,999997.360000
78,1700000179,1146,1000128,BID,100.130000,2,MomentumStrategy,-6,1000598.220000,999997.440000
79,1700000181,1136,1000129,BID,100.200000,2,MomentumStrategy,-4,1000397.820000,999997.020000
80,1700000182,1148,1000130,BID,100.190000,2,MomentumStrategy,-2,1000197.440000,999997.060000
81,1700000183,1134,1000131,BID,100.260000,2,MomentumStrategy,0,999996.920000,999996.920000
82,1700000184,1150,1000132,BID,100.250000,2,MomentumStrategy,2,999796.420000,999996.920000
83,1700000186,1132,1000133,BID,100.300000,2,MomentumStrategy,4,999595.820000,999997.020000
84,1700000187,1132,1000134,BID,100.300000,2,MomentumStrategy,6,999395.220000,999997.020000
85,1700000188,1152,1000135,BID,100.310000,2,MomentumStrategy,8,999194.600000,999997.080000
86,1700000189,1130,1000136,BID,100.330000,2,MomentumStrategy,10,998993.940000,999997.240000
87,1700000199,1161,1000141,ASK,100.360000,2,MomentumStrategy,8,999194.660000,999997.540000
88,1700000201,1161,1000142,ASK,100.360000,2,MomentumStrategy,6,999395.380000,999997.540000
89,1700000202,1163,1000143,ASK,100.300000,2,MomentumStrategy,4,999595.980000,999997.180000
90,1700000203,1163,1000144,ASK,100.300000,2,MomentumStrategy,2,999796.580000,999997.180000
91,1700000204,1165,1000145,ASK,100.240000,2,MomentumStrategy,0,999997.060000,999997.060000
92,1700000206,1165,1000146,ASK,100.240000,2,MomentumStrategy,-2,1000197.540000,999997.060000
93,1700000207,1167,1000147,ASK,100.180000,2,MomentumStrategy,-4,1000397.900000,999997.180000
94,1700000208,1167,1000148,ASK,100.180000,2,MomentumStrategy,-6,1000598.260000,999997.180000
95,1700000209,1169,1000149,ASK,100.120000,2,MomentumStrategy,-8,1000798.500000,999997.540000
96,1700000211,1169,1000150,ASK,100.120000,2,MomentumStrategy,-10,1000998.740000,999997.540000
97,1700000217,1176,1000154,BID,100.100000,2,MomentumStrategy,-8,1000798.540000,999997.740000
98,1700000218,1170,1000155,BID,100.140000,2,MomentumStrategy,-6,1000598.260000,999997.420000
99,1700000219,1178,1000156,BID,100.180000,2,MomentumStrategy,-4,1000397.900000,999997.180000
100,1700000221,1168,1000157,BID,100.200000,2,MomentumStrategy,-2,1000197.500000,999997.100000
101,1700000222,1168,1000158,BID,100.200000,1,MomentumStrategy,-1,1000097.300000,999997.040000
102,1700000222,1166,1000158,BID,100.260000,1,MomentumStrategy,0,999997.040000,999997.040000
103,1700000223,1180,1000159,BID,100.260000,2,MomentumStrategy,2,999796.520000,999997.040000
104,1700000224,1180,1000160,BID,100.260000,1,MomentumStrategy,3,999696.260000,999997.220000
105,1700000224,1164,1000160,BID,100.320000,1,MomentumStrategy,4,999595.940000,999997.220000
106,1700000226,1182,1000161,BID,100.340000,2,MomentumStrategy,6,999395.260000,999997.300000
107,1700000227,1182,1000162,BID,100.340000,2,MomentumStrategy,8,999194.580000,999997.300000
108,1700000228,1184,1000163,BID,100.420000,2,MomentumStrategy,10,998993.740000,999997.940000
109,1700000237,1191,1000167,ASK,100.310000,2,MomentumStrategy,8,999194.360000,999996.840000
110,1700000238,1191,1000168,ASK,100.310000,2,MomentumStrategy,6,999394.980000,999996.840000
111,1700000239,1193,1000169,ASK,100.250000,2,MomentumStrategy,4,999595.480000,999996.480000
112,1700000241,1193,1000170,ASK,100.250000,2,MomentumStrategy,2,999795.980000,999996.480000
113,1700000242,1195,1000171,ASK,100.190000,2,MomentumStrategy,0,999996.360000,999996.360000
114,1700000243,1195,1000172,ASK,100.190000,2,MomentumStrategy,-2,1000196.740000,999996.360000
115,1700000244,1197,1000173,ASK,100.130000,2,MomentumStrategy,-4,1000397.000000,999996.480000
116,1700000246,1197,1000174,ASK,100.130000,2,MomentumStrategy,-6,1000597.260000,999996.480000
117,1700000247,1175,1000175,ASK,100.080000,2,MomentumStrategy,-8,1000797.420000,999996.780000
