timestamp,equity,pnl,position
1700000001,1000000.000000,0.000000,0
1700000002,1000000.000000,0.000000,0
1700000003,1000000.000000,0.000000,0
1700000004,1000000.000000,0.000000,0
1700000004,1000000.000000,0.000000,2
1700000005,1000000.000000,0.000000,2
1700000005,1000000.000000,0.000000,4
1700000006,1000000.000000,0.000000,4
1700000006,999999.800000,-0.200000,6
1700000007,999999.800000,-0.200000,6
1700000007,999998.900000,-1.100000,4
1700000008,999998.900000,-1.100000,4
1700000008,999998.900000,-1.100000,2
1700000009,999998.900000,-1.100000,2
1700000009,999998.960000,-1.040000,0
1700000010,999998.960000,-1.040000,0
1700000010,999998.960000,-1.040000,2
1700000011,999998.960000,-1.040000,2
1700000012,999998.960000,-1.040000,2
1700000012,999998.960000,-1.040000,4
1700000013,999998.960000,-1.040000,4
1700000014,999998.960000,-1.040000,4
1700000014,999998.920000,-1.080000,6
1700000015,999998.920000,-1.080000,6
1700000015,999998.740000,-1.260000,4
1700000016,999998.740000,-1.260000,4
1700000016,999998.740000,-1.260000,2
1700000017,999998.740000,-1.260000,2
1700000017,999998.780000,-1.220000,0
1700000018,999998.780000,-1.220000,0
1700000019,999998.780000,-1.220000,0
1700000019,999998.790000,-1.210000,1
1700000019,999998.790000,-1.210000,2
1700000020,999998.790000,-1.210000,2
1700000020,999998.830000,-1.170000,4
1700000021,999998.830000,-1.170000,4
1700000021,999998.790000,-1.210000,6
1700000022,999998.850000,-1.150000,6
1700000022,999998.920000,-1.080000,7
1700000022,999998.920000,-1.080000,8
1700000023,999998.920000,-1.080000,8
1700000024,999998.920000,-1.080000,8
1700000024,999998.920000,-1.080000,10
1700000025,999998.920000,-1.080000,10
1700000026,999998.920000,-1.080000,10
1700000027,999999.020000,-0.980000,10
1700000028,999999.020000,-0.980000,10
1700000029,999999.020000,-0.980000,10
1700000030,999999.220000,-0.780000,10
1700000031,999999.220000,-0.780000,10
1700000032,999999.420000,-0.580000,10
1700000033,999999.420000,-0.580000,10
1700000034,999999.520000,-0.480000,10
1700000035,999999.520000,-0.480000,10
1700000036,999999.520000,-0.480000,10
1700000037,999999.720000,-0.280000,10
1700000038,999999.720000,-0.280000,10
1700000039,999999.820000,-0.180000,10
1700000040,999999.820000,-0.180000,10
1700000041,999999.820000,-0.180000,10
1700000042,1000000.120000,0.120000,10
1700000043,1000000.120000,0.120000,10
1700000044,1000000.320000,0.320000,10
1700000045,1000000.320000,0.320000,10
1700000046,1000000.420000,0.420000,10
1700000047,1000000.420000,0.420000,10
1700000048,1000000.420000,0.420000,10
1700000049,1000000.620000,0.620000,10
1700000050,1000000.620000,0.620000,10
1700000051,1000001.020000,1.020000,10
1700000052,1000001.020000,1.020000,10
1700000053,1000001.020000,1.020000,10
1700000054,1000001.320000,1.320000,10
1700000055,1000001.320000,1.320000,10
1700000056,1000001.620000,1.620000,10
1700000057,1000001.620000,1.620000,10
1700000058,1000001.620000,1.620000,10
1700000059,1000001.620000,1.620000,10
1700000060,1000001.620000,1.620000,10
1700000061,1000001.620000,1.620000,10
1700000062,1000001.720000,1.720000,10
1700000063,1000001.720000,1.720000,10
1700000064,1000001.720000,1.720000,10
1700000065,1000001.520000,1.520000,10
1700000065,1000001.340000,1.340000,9
1700000065,1000001.340000,1.340000,8
1700000066,1000001.340000,1.340000,8
1700000066,1000001.340000,1.340000,6
1700000067,1000001.340000,1.340000,6
1700000067,1000001.220000,1.220000,4
