timestamp,best_bid,best_ask,last_price,volume
1700000001,99.900000,0.000000,0.000000,0
1700000002,99.900000,100.300000,100.100000,0
1700000003,99.950000,100.300000,100.125000,0
1700000004,99.950000,100.250000,100.100000,0
1700000004,99.950000,100.250000,100.250000,2
1700000005,100.000000,100.250000,100.250000,2
1700000005,100.000000,100.250000,100.250000,2
1700000006,100.000000,100.200000,100.250000,2
1700000006,100.000000,100.200000,100.200000,2
1700000007,100.050000,100.200000,100.200000,2
1700000007,100.050000,100.200000,100.050000,2
1700000008,100.050000,100.180000,100.050000,2
1700000008,100.000000,100.180000,100.050000,2
1700000009,100.080000,100.180000,100.050000,2
1700000009,100.080000,100.180000,100.080000,2
1700000010,100.080000,100.160000,100.080000,2
1700000010,100.080000,100.160000,100.160000,2
1700000011,100.080000,100.160000,100.160000,2
1700000012,100.100000,100.160000,100.160000,2
1700000012,100.100000,100.180000,100.160000,2
1700000013,100.100000,100.180000,100.160000,2
1700000014,100.100000,100.150000,100.160000,2
1700000014,100.100000,100.150000,100.150000,2
1700000015,100.120000,100.150000,100.150000,2
1700000015,100.120000,100.150000,100.120000,2
1700000016,100.120000,100.150000,100.120000,2
1700000016,100.120000,100.150000,100.120000,2
1700000017,100.140000,100.150000,100.120000,2
1700000017,100.140000,100.150000,100.140000,2
1700000018,100.140000,100.150000,100.140000,2
1700000019,100.120000,100.140000,100.140000,3
1700000019,100.120000,100.150000,100.150000,2
1700000019,100.120000,100.150000,100.150000,2
1700000020,100.150000,100.170000,100.150000,2
1700000020,100.150000,100.170000,100.170000,2
1700000021,100.150000,100.160000,100.170000,2
1700000021,100.150000,100.160000,100.160000,2
1700000022,100.150000,100.170000,100.170000,6
1700000022,100.150000,100.180000,100.180000,2
1700000022,100.150000,100.180000,100.180000,2
1700000023,100.150000,100.180000,100.180000,2
1700000024,100.150000,100.180000,100.180000,2
1700000024,100.150000,100.180000,100.180000,2
1700000025,100.180000,100.190000,100.180000,2
1700000026,100.180000,100.190000,100.180000,2
1700000027,100.180000,100.210000,100.190000,6
1700000028,100.180000,100.210000,100.190000,6
1700000029,100.180000,100.210000,100.190000,6
1700000030,100.180000,100.230000,100.210000,5
1700000031,100.180000,100.230000,100.210000,5
1700000032,100.180000,100.230000,100.230000,6
1700000033,100.180000,100.230000,100.230000,6
1700000034,100.180000,100.240000,100.240000,5
1700000035,100.180000,100.240000,100.240000,5
1700000036,100.180000,100.240000,100.240000,5
1700000037,100.180000,100.260000,100.260000,5
1700000038,100.180000,100.260000,100.260000,5
1700000039,100.180000,100.300000,100.270000,7
1700000040,100.180000,100.300000,100.270000,7
1700000041,100.180000,100.300000,100.270000,7
1700000042,100.180000,100.320000,100.300000,6
1700000043,100.180000,100.320000,100.300000,6
1700000044,100.180000,100.320000,100.320000,5
1700000045,100.180000,100.320000,100.320000,5
1700000046,100.180000,100.350000,100.330000,6
1700000047,100.180000,100.350000,100.330000,6
1700000048,100.180000,100.350000,100.330000,6
1700000049,100.180000,100.350000,100.350000,5
1700000050,100.180000,100.350000,100.350000,5
1700000051,100.180000,100.390000,100.390000,8
1700000052,100.180000,100.390000,100.390000,8
1700000053,100.180000,100.390000,100.390000,8
1700000054,100.180000,100.420000,100.420000,7
1700000055,100.180000,100.420000,100.420000,7
1700000056,100.180000,100.450000,100.450000,6
1700000057,100.180000,100.450000,100.450000,6
1700000058,100.460000,100.470000,100.450000,4
1700000059,100.460000,100.470000,100.450000,4
1700000060,100.460000,100.470000,100.450000,4
1700000061,100.460000,100.470000,100.450000,4
1700000062,100.440000,100.460000,100.460000,1
1700000063,100.440000,100.460000,100.460000,1
1700000064,100.440000,100.460000,100.460000,1
1700000065,100.440000,100.460000,100.440000,5
1700000065,100.420000,100.460000,100.420000,2
1700000065,100.420000,100.460000,100.420000,2
1700000066,100.420000,100.460000,100.420000,2
1700000066,100.420000,100.460000,100.420000,2
1700000067,100.400000,100.420000,100.420000,2
1700000067,100.400000,100.420000,100.400000,2
1700000068,100.400000,100.420000,100.400000,2
1700000068,100.400000,100.420000,100.400000,2
1700000069,100.380000,100.400000,100.400000,2
1700000069,100.380000,100.400000,100.380000,2
1700000070,100.380000,100.400000,100.380000,2
1700000071,100.380000,100.400000,100.380000,2
1700000071,100.380000,100.400000,100.380000,2
1700000072,100.360000,100.380000,100.380000,1
1700000072,100.360000,100.380000,100.360000,2
1700000073,100.360000,100.380000,100.360000,2
1700000073,100.360000,100.380000,100.360000,2
1700000074,100.340000,100.360000,100.360000,2
1700000074,100.340000,100.360000,100.340000,2
1700000075,100.340000,100.360000,100.340000,2
1700000076,100.340000,100.360000,100.340000,2
1700000076,100.340000,100.360000,100.340000,2
1700000077,100.320000,100.340000,100.340000,1
1700000078,100.320000,100.340000,100.340000,1
1700000079,100.300000,100.340000,100.320000,5
1700000080,100.300000,100.340000,100.320000,5
1700000081,100.300000,100.340000,100.320000,5
1700000082,100.280000,100.340000,100.300000,6
1700000083,100.280000,100.340000,100.300000,6
1700000084,100.280000,100.340000,100.280000,5
1700000085,100.280000,100.340000,100.280000,5
1700000086,100.280000,100.340000,100.280000,5
1700000087,100.240000,100.340000,100.260000,6
1700000088,100.240000,100.340000,100.260000,6
1700000089,100.220000,100.240000,100.240000,5
1700000090,100.220000,100.240000,100.240000,5
1700000091,100.220000,100.240000,100.240000,5
1700000092,100.220000,100.240000,100.220000,5
1700000093,100.220000,100.240000,100.220000,5
1700000094,100.200000,100.240000,100.200000,5
1700000095,100.200000,100.240000,100.200000,5
1700000096,100.200000,100.240000,100.200000,5
1700000097,100.180000,100.240000,100.180000,6
1700000098,100.180000,100.240000,100.180000,6
1700000099,100.180000,100.240000,100.180000,5
1700000100,100.180000,100.240000,100.180000,5
1700000101,100.180000,100.240000,100.180000,5
1700000102,100.160000,100.240000,100.160000,6
1700000103,100.160000,100.240000,100.160000,6
1700000104,100.140000,100.240000,100.140000,5
1700000105,100.140000,100.240000,100.140000,5
1700000106,100.140000,100.240000,100.140000,5
1700000107,100.120000,100.240000,100.120000,6
1700000108,100.120000,100.240000,100.120000,6
1700000109,100.120000,100.240000,100.120000,5
1700000110,100.120000,100.240000,100.120000,5
1700000111,100.120000,100.240000,100.120000,5
